block,group,question_text,positive_3,positive_2,neutral_1,negative_0
А,ИТ-базовый,"Мне нравится разбираться в работе программ: алгоритмах, структурах данных, логике кода.","Это моё главное увлечение, я читаю об этом и решаю задачи самостоятельно","Мне это интересно, я изучал(а) базовые понятия","Слышал(а) об этом, но особого интереса нет","Скорее не интересно, предпочитаю другое"
А,ИТ-базовый,"Я люблю математику — комбинаторику, теорию вероятностей, задачи на оптимизацию.","Математика — мой сильный предмет, решаю олимпиадные задачи","Мне нравится математика, справляюсь с нестандартными задачами","Математика даётся нормально, но не увлекает",Математика скорее трудна и не вызывает интереса
А,ИИ и данные,"Меня интересует, как машина учится на примерах и делает предсказания — хочу разобраться в машинном обучении.","Уже пробовал(а) обучать модели, знаком(а) с основными алгоритмами МО","Смотрел(а) курсы или видео по теме, хочу разобраться глубже","Слышал(а) про МО, но пока не изучал(а)","Тема кажется слишком абстрактной, не тянет разбираться"
А,ИИ и данные,"Мне нравится искать закономерности в данных: строить графики, анализировать таблицы, делать выводы из чисел.","Регулярно работаю с данными в Python/Excel, делал(а) собственный анализ",Пробовал(а) строить графики и считать статистику в учебных задачах,"Иногда работаю с таблицами, но не увлекаюсь",Данные и графики скучноваты для меня
А,Безопасность,"Мне интересно, как устроена защита данных: шифрование, уязвимости и способы противостоять атакам.","Изучал(а) тему самостоятельно, знаком(а) с основными видами атак и защиты","Читал(а) про кибербезопасность, интересуюсь этой темой","Слышал(а) об этом, но не углублялся(ась)",Тема не особо привлекает
А,Безопасность,"Я хочу разобраться, как работают сети и протоколы передачи данных — от Wi-Fi до мобильной связи.","Уже знаком(а) с основами сетей (TCP/IP, DNS, HTTP), хочу глубже","Интересно, как это устроено, читал(а) об этом","Знаю базовые слова, но не вникал(а)",Скорее не интересует
А,Мобильные роботы,"Мне интересно собирать роботов и программировать их движение, навигацию и поведение в пространстве.","Строил(а) роботов, участвовал(а) в соревнованиях по робототехнике",Пробовал(а) программировать Arduino/Lego или собирал(а) простые конструкции,"Интересно теоретически, но не пробовал(а) на практике",Скорее не моё
А,Мобильные роботы,"Я бы хотел создать машину или аппарат, который сам принимает решения без участия человека.","Очень хочу этим заниматься, читал(а) про автономные системы","Интересная тема, хотел(а) бы попробовать","Любопытно, но не приоритет",Скорее не привлекает
А,Сенсорика и встроенные системы,"Меня привлекает работа с электроникой: датчики, микроконтроллеры, схемы — нравится соединять «железо» и код.","Паял(а) схемы, работал(а) с Arduino/ESP32, делал(а) собственные устройства","Пробовал(а) базовую электронику, хочу глубже","Интересно, но пока не пробовал(а)",Скорее не моё — предпочитаю чистый код или теорию
А,Сенсорика и встроенные системы,Мне интересна цифровая обработка сигналов — как из «сырых» данных с датчиков получить полезную информацию.,"Знаком(а) с основами DSP или обработки сигналов, разбирался(ась) самостоятельно","Тема интересна, читал(а) или смотрел(а) введение","Слышал(а) термин, но не изучал(а)",Пока не тянет разбираться
А,Физика и энергетика,"Физика — один из моих любимых предметов: электричество, волны, механика или термодинамика.","Физика — мой профильный предмет, участвую в олимпиадах","Нравится физика, сдаю её углублённо или хорошо справляюсь","Физика даётся нормально, но не в числе любимых",Физика скорее трудна и не увлекает
А,Физика и энергетика,"Меня интересует энергетика: как генерируется, передаётся и хранится электроэнергия, в том числе атомная и квантовая.","Увлечён(а) темой: читал(а) про реакторы, сети, возобновляемую или квантовую энергетику","Интересно на уровне «хочу понять, как это устроено»","Нейтрально, специально не думал(а) об этом",Тема не особо привлекает
А,Химия и материалы,"Я увлекаюсь химией: хочу понимать, как устроены вещества и как они взаимодействуют.","Химия — один из профильных предметов, участвую в олимпиадах или провожу опыты","Нравится химия, изучаю её углублённо","Химия нормальная, но не главное увлечение",Химия даётся с трудом и не привлекает
А,Химия и материалы,"Я бы хотел создавать новые материалы с особыми свойствами: тонкие плёнки, наночастицы, гибкая электроника.","Читал(а) про наноматериалы или функциональные покрытия, очень интересно","Тема кажется перспективной, хотел(а) бы узнать больше","Слышал(а), но пока не думал(а) об этом",Скорее не моя тема
А,Биология и медицина,"Биология — одно из моих главных увлечений: как устроена клетка, как работают гены, белки и живые системы.","Биология — профильный предмет, участвую в олимпиадах или читаю научпоп","Нравится биология, изучаю углублённо","Биология нормальная, но не в числе главных интересов",Биология даётся с трудом и не увлекает
А,Биология и медицина,"Меня интересует применение биологии в технологиях: редактирование генов, выращивание тканей, нейроинтерфейсы.","Очень интересно, читал(а) про CRISPR, нейроинтерфейсы или биоинженерию","Тема привлекает, хотел(а) бы разобраться","Слышал(а), но не вникал(а)",Скорее не моя тема
А,Космос,"Меня всегда привлекал космос: как работают спутники, ракеты и что происходит за пределами атмосферы.","Сильно увлечён(а) темой: читаю, слежу за запусками, мечтаю работать в этой сфере","Интересно, смотрю новости про космос","Нравится как зрелище, но профессионально не задумывался(ась)",Скорее не моя тема
А,Космос,"Хочу разобраться, как проектировать летательные аппараты: аэродинамика, конструкция, системы навигации.","Читал(а) про аэродинамику или конструирование, очень интересно","Хотел(а) бы понять, как это устроено","Любопытно теоретически, но не приоритет",Не особо привлекает
А,Среда жизни,"Мне интересно, как устроен город: инфраструктура, энергетика, транспорт, коммунальные сети и их цифровое управление.","Очень интересно: читаю про умные города, городские данные, урбанистику","Интересует на уровне «хочу понять, как это работает»","Нейтрально, специально не думал(а) об этом",Скорее не моя тема
А,Среда жизни,"Меня привлекает проектирование среды обитания: умные здания, экосистемы, устойчивое сельское хозяйство с технологиями.","Читал(а) про AgriTech, BIM или экоустойчивые системы, очень интересно","Интересует, хотел(а) бы попробовать","Слышал(а), но не вникал(а)",Скорее не моя тема
А,Пользовательские интерфейсы,"Мне интересно делать удобные приложения: продумывать интерфейс, логику и опыт пользователя.","Делал(а) интерфейсы или мобильные прототипы, думал(а) об UX","Нравится, когда приложение удобное, хочу научиться делать так же","Пользуюсь приложениями, но дизайн не в фокусе",Скорее не моё
А,Пользовательские интерфейсы,"Меня привлекает разработка мобильных или веб-приложений — хочу создавать сервисы, которыми пользуются каждый день.",Уже делал(а) мобильное или веб-приложение (даже учебное),"Хочу научиться, смотрел(а) уроки по Flutter/React/Swift","Интересно в теории, но пока не пробовал(а)",Не особо тянет
А,Творчество и VR,"Я хочу создавать игры или интерактивные приложения — продумывать механики, уровни, визуальный стиль.",Делал(а) игры в Unity/Godot или пишу игровую логику самостоятельно,Пробовал(а) создавать игровые сцены или уровни,"Нравится играть, но делать игры — другой вопрос",Разработка игр скорее не моё
А,Творчество и VR,"Я хочу создавать виртуальные или дополненные миры: 3D-среды, иммерсивный опыт, XR-технологии.",Пробовал(а) VR/AR разработку или 3D-моделирование для интерактивных сцен,"Очень интересно, хочу попробовать","Любопытно как технология, но не приоритет",Скорее не моя тема
